 Fix  ,  Fix Date/Time ,     Latitude ,    Longitude , Altitude , Time ,   Temp ,Fix Status     , Sats ,  DOP
     0 , 42156.55541667 ,   45.7456167 , -100.6889250 ,  589.988 ,  180 ,   28.5 ,   "3D Fix-F0" ,     9 ,  2.4
     1 , 42156.55586806 ,   45.7456403 , -100.6888756 ,  594.391 ,   26 ,   30.5 ,   "3D Fix-F3" ,     9 ,  1.7
     2 , 42156.55945602 ,   45.7456372 , -100.6888772 ,  594.930 ,   26 ,   30.0 ,   "3D Fix-F3" ,    10 ,  1.4
     3 , 42156.56292824 ,   45.7456617 , -100.6888983 ,  601.211 ,   26 ,   30.5 ,   "3D Fix-F2" ,    10 ,  1.4
     4 , 42156.56637731 ,   45.7456336 , -100.6888972 ,  599.574 ,   26 ,   31.0 ,   "3D Fix-F3" ,    10 ,  1.4
     5 , 42156.56987269 ,   45.7456122 , -100.6888922 ,  595.770 ,   26 ,   31.0 ,   "3D Fix-F3" ,    10 ,  1.6
     6 , 42156.57334491 ,   45.7456428 , -100.6888706 ,  596.016 ,   26 ,   31.0 ,   "3D Fix-F1" ,    10 ,  1.4
     7 , 42156.57681713 ,   45.7456072 , -100.6889111 ,  598.641 ,   26 ,   30.5 ,   "3D Fix-F1" ,    10 ,  1.3
     8 , 42156.58028935 ,   45.7455958 , -100.6888939 ,  594.426 ,   26 ,   30.5 ,   "3D Fix-F2" ,    10 ,  1.3
     9 , 42156.58371528 ,   45.7456400 , -100.6888836 ,  593.727 ,   26 ,   30.5 ,   "3D Fix-F2" ,    10 ,  1.3
    10 , 42156.58721065 ,   45.7456128 , -100.6888750 ,  594.434 ,   26 ,   31.0 ,   "3D Fix-F2" ,     9 ,  1.6
    11 , 42156.59062500 ,   45.7456339 , -100.6888797 ,  595.469 ,   26 ,   31.0 ,   "3D Fix-F2" ,     8 ,  1.6
    12 , 42156.59416667 ,   45.7456344 , -100.6888997 ,  583.840 ,   26 ,   31.0 ,   "3D Fix-F1" ,     8 ,  1.6
    13 , 42156.59777778 ,   45.7456214 , -100.6889097 ,  589.121 ,   38 ,   31.5 ,   "3D Fix-F3" ,     9 ,  1.6
    14 , 42156.60115741 ,   45.7456269 , -100.6888711 ,  589.047 ,   32 ,   31.0 ,   "3D Fix-F1" ,     9 ,  1.7
    15 , 42157.50449074 ,   45.8833447 , -102.6163061 ,  743.133 ,   78 ,   23.5 ,   "3D Fix-F1" ,     6 ,  3.2
    16 , 42157.50738426 ,   45.8834278 , -102.6161872 ,  746.469 ,   27 ,   24.5 ,   "3D Fix-F1" ,     6 ,  3.2
    17 , 42157.51079861 ,   45.8833903 , -102.6162428 ,  739.938 ,   26 ,   25.5 ,   "3D Fix-F1" ,     6 ,  3.2
    18 , 42157.51430556 ,   45.8834244 , -102.6161222 ,  746.223 ,   26 ,   26.5 ,   "3D Fix-F1" ,     6 ,  3.2
    19 , 42157.51790509 ,   45.8833394 , -102.6162811 ,  746.203 ,   38 ,   27.0 ,   "3D Fix-F1" ,     6 ,  3.1
    20 , 42157.52138889 ,   45.8833803 , -102.6160953 ,  743.383 ,   44 ,   27.5 ,   "3D Fix-F0" ,     6 ,  3.0
    21 , 42157.52467593 ,   45.8833708 , -102.6162625 ,  752.848 ,   26 ,   27.5 ,   "3D Fix-F1" ,     6 ,  2.8
    22 , 42157.52809028 ,   45.8833372 , -102.6163439 ,  742.973 ,   30 ,   28.0 ,   "3D Fix-F1" ,     6 ,  2.7
    23 , 42157.53168981 ,   45.8833014 , -102.6162803 ,  741.906 ,   29 ,   28.0 ,   "3D Fix-F2" ,     6 ,  2.6
    24 , 42157.53509259 ,   45.8834147 , -102.6162336 ,  750.961 ,   26 ,   28.0 ,   "3D Fix-F1" ,     6 ,  2.4
    25 , 42157.53861111 ,   45.8833811 , -102.6159836 ,  755.289 ,   26 ,   28.0 ,   "3D Fix-F2" ,     6 ,  2.3
    26 , 42157.54215278 ,   45.8833328 , -102.6162950 ,  744.793 ,   32 ,   28.5 ,   "3D Fix-F0" ,     6 ,  2.2
    27 , 42157.54552083 ,   45.8833461 , -102.6162597 ,  751.688 ,   26 ,   28.0 ,   "3D Fix-F1" ,     6 ,  2.1
    28 , 42157.54903935 ,   45.8832831 , -102.6161692 ,  761.355 ,   26 ,   28.0 ,   "3D Fix-F3" ,     6 ,  2.1
    29 , 42157.55251157 ,   45.8833044 , -102.6165142 ,  747.020 ,   26 ,   28.5 ,   "3D Fix-F1" ,     6 ,  2.0
    30 , 42157.55600694 ,   45.8833761 , -102.6162653 ,  745.168 ,   32 ,   28.5 ,   "3D Fix-F0" ,     6 ,  1.9
    31 , 42157.55952546 ,   45.8833156 , -102.6163483 ,  754.922 ,   32 ,   28.5 ,   "3D Fix-F3" ,     6 ,  1.9
    32 , 42157.56306713 ,   45.8833483 , -102.6163428 ,  743.543 ,   39 ,   28.5 ,   "3D Fix-F2" ,     8 ,  2.2
    33 , 42157.56638889 ,   45.8833203 , -102.6162950 ,  751.289 ,   26 ,   28.5 ,   "3D Fix-F4" ,     8 ,  1.6
    34 , 42157.57025463 ,   45.8833247 , -102.6163208 ,  741.164 ,   60 ,   28.5 ,   "3D Fix-F4" ,     7 ,  2.1
    35 , 42157.57431713 ,   45.8834283 , -102.6161753 ,  747.074 ,  110 ,   29.0 ,   "3D Fix-F3" ,     8 ,  1.7
    36 , 42157.57687500 ,   45.8834208 , -102.6161417 ,  743.559 ,   31 ,   29.5 ,   "3D Fix-F7" ,     8 ,  2.6
    37 , 42157.58041667 ,   45.8833725 , -102.6161567 ,  759.770 ,   38 ,   29.0 ,   "3D Fix-F2" ,     8 ,  2.9
    38 , 42157.58393519 ,   45.8834128 , -102.6162014 ,  744.625 ,   42 ,   29.0 ,   "3D Fix-F1" ,     7 ,  2.6
    39 , 42157.58722222 ,   45.8833419 , -102.6162897 ,  743.254 ,   26 ,   29.0 ,   "3D Fix-F1" ,     7 ,  4.2
    40 , 42157.59063657 ,   45.8840111 , -102.6160975 ,  744.645 ,   26 ,   29.0 ,   "3D Fix-F1" ,     7 ,  2.3
    41 , 42157.59435185 ,   45.8838728 , -102.6167428 ,  746.297 ,   44 ,   29.5 ,   "3D Fix-F1" ,     8 ,  1.7
    42 , 42157.59771991 ,   45.8839836 , -102.6167925 ,  742.043 ,   33 ,   29.5 ,   "3D Fix-F1" ,     8 ,  1.7
    43 , 42157.60116898 ,   45.8840142 , -102.6166789 ,  742.809 ,   32 ,   30.0 ,   "3D Fix-F0" ,     8 ,  1.7
    44 , 42157.60458333 ,   45.8839303 , -102.6166675 ,  740.750 ,   26 ,   30.0 ,   "3D Fix-F1" ,     9 ,  1.6
    45 , 42157.60795139 ,   45.8837744 , -102.6165439 ,  735.711 ,   26 ,   29.5 ,   "3D Fix-F2" ,     9 ,  1.6
    46 , 42157.61152778 ,   45.8839278 , -102.6167153 ,  743.832 ,   26 ,   29.5 ,   "3D Fix-F1" ,     9 ,  1.6
    47 , 42157.61500000 ,   45.8840028 , -102.6163122 ,  744.738 ,   26 ,   29.5 ,   "3D Fix-F6" ,     9 ,  1.5
    48 , 42157.61848380 ,   45.8839447 , -102.6162603 ,  746.215 ,   26 ,   29.5 ,   "3D Fix-F0" ,     9 ,  2.4
    49 , 42157.62201389 ,   45.8840078 , -102.6165511 ,  747.242 ,   32 ,   29.5 ,   "3D Fix-F2" ,     9 ,  1.8
    50 , 42157.62549769 ,   45.8839669 , -102.6162881 ,  737.477 ,   32 ,   29.5 ,   "3D Fix-F6" ,     8 ,  3.0
    51 , 42157.62894676 ,   45.8839728 , -102.6166161 ,  737.969 ,   32 ,   30.0 ,   "3D Fix-F1" ,     7 ,  3.2
    52 , 42157.63229167 ,   45.8838703 , -102.6167017 ,  740.473 ,   26 ,   29.5 ,   "3D Fix-F1" ,     7 ,  3.4
    53 , 42157.63583333 ,   45.8839750 , -102.6165294 ,  731.086 ,   26 ,   29.5 ,   "3D Fix-F3" ,     7 ,  3.6
    54 , 42157.63918981 ,   45.8840075 , -102.6164933 ,  740.586 ,   26 ,   29.5 ,   "3D Fix-F0" ,     7 ,  3.6
