 Record  ,     Date/Time ,   X-Act ,   Y-Act ,  % Head Down,   Temp 
        0 , 42156.55555556,        0,        0,        100.0,   30.5
        1 , 42156.55902778,        0,        0,        100.0,   30.0
        2 , 42156.56250000,        0,        0,        100.0,   30.5
        3 , 42156.56597222,        0,        0,        100.0,   31.0
        4 , 42156.56944444,        0,        0,        100.0,   31.0
        5 , 42156.57291667,        0,        0,        100.0,   31.0
        6 , 42156.57638889,        0,        0,        100.0,   30.5
        7 , 42156.57986111,        0,        0,        100.0,   30.5
        8 , 42156.58333333,        0,        0,        100.0,   30.5
        9 , 42156.58680556,        0,        0,        100.0,   31.0
       10 , 42156.59027778,        0,        0,        100.0,   31.0
       11 , 42156.59375000,        0,        0,        100.0,   31.0
       12 , 42156.59722222,        0,        0,        100.0,   31.5
       13 , 42156.60069444,        1,        1,         91.3,   31.0
       14 , 42157.50347222,        2,        4,         99.3,   23.5
       15 , 42157.50694444,       24,       54,         94.7,   24.5
       16 , 42157.51041667,        8,       34,         94.0,   25.5
       17 , 42157.51388889,        6,       62,         90.7,   26.5
       18 , 42157.51736111,        0,       10,         97.3,   27.0
       19 , 42157.52083333,       14,       66,         88.7,   27.5
       20 , 42157.52430556,        6,       22,         95.3,   27.5
       21 , 42157.52777778,        2,        4,         90.0,   28.0
       22 , 42157.53125000,       18,       32,         90.7,   28.0
       23 , 42157.53472222,        0,       14,         93.3,   28.0
       24 , 42157.53819444,        0,       30,         83.3,   28.0
       25 , 42157.54166667,        6,       18,         98.0,   28.5
       26 , 42157.54513889,       10,       36,         76.7,   28.0
       27 , 42157.54861111,        0,       50,         81.3,   28.0
       28 , 42157.55208333,       34,       25,         84.0,   28.5
       29 , 42157.55555556,       18,       39,         87.3,   28.5
       30 , 42157.55902778,        0,       14,         99.3,   28.5
       31 , 42157.56250000,        4,       74,         95.3,   28.5
       32 , 42157.56597222,        0,       96,         86.7,   28.5
       33 , 42157.56944444,        2,      100,         86.7,   28.5
       34 , 42157.57291667,        0,       94,         87.3,   29.0
       35 , 42157.57638889,       20,       98,         82.0,   29.5
       36 , 42157.57986111,        6,       61,         72.7,   29.0
       37 , 42157.58333333,        2,       61,         87.3,   29.0
       38 , 42157.58680556,        2,       50,         88.7,   29.0
       39 , 42157.59027778,       26,      100,         88.0,   29.0
       40 , 42157.59375000,       32,       90,         90.7,   29.5
       41 , 42157.59722222,       14,       62,         87.3,   29.5
       42 , 42157.60069444,        0,        6,         94.7,   30.0
       43 , 42157.60416667,       26,       60,         96.0,   30.0
       44 , 42157.60763889,       16,       12,         98.0,   29.5
       45 , 42157.61111111,       18,       24,         98.0,   29.5
       46 , 42157.61458333,       20,       26,         98.0,   29.5
       47 , 42157.61805556,       32,       16,         92.0,   29.5
       48 , 42157.62152778,       20,       16,         97.3,   29.5
       49 , 42157.62500000,        8,       42,         80.7,   29.5
       50 , 42157.62847222,       26,        2,        100.0,   30.0
       51 , 42157.63194444,       10,       10,         99.3,   29.5
       52 , 42157.63541667,       10,       15,         68.0,   29.5
       53 , 42157.63888889,        0,        0,          0.0,   29.5
       54 , 42157.64236111,        2,        0,          0.0,   29.5
       55 , 42157.64583333,        0,        2,          0.0,   30.0
       56 , 42157.64930556,        0,       20,         32.7,   30.0
       57 , 42157.65277778,        2,       27,         96.0,   30.0
       58 , 42157.65625000,        2,       14,         99.3,   30.0
       59 , 42157.65972222,       24,       54,         84.0,   29.5
       60 , 42157.66319444,        6,        7,         26.0,   29.5
       61 , 42157.66666667,       32,       38,          7.3,   29.5
       62 , 42157.67013889,        2,        0,          0.0,   29.5
       63 , 42157.67361111,        2,        0,          0.0,   29.5
       64 , 42157.67708333,       22,        2,          6.7,   30.0
       65 , 42157.68055556,       13,       10,         12.0,   30.0
       66 , 42157.68402778,        2,        2,         32.7,   30.0
       67 , 42157.68750000,       25,        1,         97.3,   30.0
       68 , 42157.69097222,       30,       12,         80.0,   30.0
       69 , 42157.69444444,        3,        1,         90.7,   29.5
       70 , 42157.69791667,        2,        0,          0.0,   29.5
       71 , 42157.70138889,        4,        6,          0.0,   29.5
       72 , 42157.70486111,       18,       28,         10.0,   29.5
       73 , 42157.70833333,        8,        0,          0.0,   29.5
